@odata.etag,ItemInternalId,Name,Sex,Age,Survived,Pclass,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,male,female,deceased,survived2,1st class,2nd class,3rd class
,134bb49a-a1af-4b18-bf42-1e650f924255,Capt. Edward Gifford Crosby,male,70,0,1,1,1,71,1,0,1,0,1,0,0
,6748f967-a73f-4b65-b8bc-724f02634b2d,Col. John Weir,male,60,0,1,0,0,26.55,1,0,1,0,1,0,0
,f86bfd7a-afaf-45a0-8b41-be8f7908ddbd,Col. Oberst Alfons Simonius-Blumer,male,56,1,1,0,0,35.5,1,0,0,1,1,0,0
,d1686b51-7e66-4de1-9a48-69a1b99e7cd7,Don. Manuel E Uruchurtu,male,40,0,1,0,0,27.7208,1,0,1,0,1,0,0
,3ebb23c4-7e93-46ba-b783-8e0583742dac,Dr. Alfred Pain,male,23,0,2,0,0,10.5,1,0,1,0,0,1,0
,4e5a8dd1-b1b3-4f0f-93aa-d24e3b3f70c5,Dr. Alice (Farnham) Leader,female,49,1,1,0,0,25.9292,0,1,0,1,1,0,0
,96c6f74b-09a4-47d5-86c3-49f35f68cb9e,Dr. Arthur Jackson Brewe,male,46,0,1,0,0,39.6,1,0,1,0,1,0,0
,75fa6e7d-288b-42f9-ad89-31d0627faa18,Dr. Ernest Moraweck,male,54,0,2,0,0,14,1,0,1,0,0,1,0
,5f0019e8-9eb7-47b2-a8fa-57e8c2b976d7,Dr. Henry William Frauenthal,male,50,1,1,2,0,133.65,1,0,0,1,1,0,0
,c3717bb5-8343-4b06-9caa-c3cfff67a0a1,Dr. Max Stahelin-Maeglin,male,32,1,1,0,0,30.5,1,0,0,1,1,0,0
,1e47873d-015a-4957-abfd-a3bb80c986c5,Dr. William Edward Minahan,male,44,0,1,2,0,90,1,0,1,0,1,0,0
,ab0aa640-73a5-4601-9590-4b480c36183f,Jonkheer. John George Reuchlin,male,38,0,1,0,0,0,1,0,1,0,1,0,0
,431825c5-7a02-40fa-aba6-42ffa5e96b86,Lady. (Lucille Christiana Sutherland)Duff Gordon,female,48,1,1,1,0,39.6,0,1,0,1,1,0,0
,18940161-941c-488f-af13-14fd3e189117,Major. Archibald Willingham Butt,male,45,0,1,0,0,26.55,1,0,1,0,1,0,0
,c79699ed-3589-4322-8bf2-575a2e3d0ca4,Major. Arthur Godfrey Peuchen,male,52,1,1,0,0,30.5,1,0,0,1,1,0,0
,e2390ff1-0c23-4f93-a98c-86957b74fc26,Master. Alden Gates Caldwell,male,0.83,1,2,0,2,29,1,0,0,1,0,1,0
,1fa0b909-5c4b-4ab6-8c35-dc547125e7d8,Master. Andre Mallet,male,1,1,2,0,2,37.0042,1,0,0,1,0,1,0
,640e104a-4274-4985-9a77-39f9aab04203,Master. Arthur Rice,male,4,0,3,4,1,29.125,1,0,1,0,0,0,1
,d3b00413-798d-456a-a17c-cb3a4dbc2f6c,Master. Assad Alexander Thomas,male,0.42,1,3,0,1,8.5167,1,0,0,1,0,0,1
,47b5c78b-4068-481e-a551-8fb9b38bd266,Master. Bertram Vere Dean,male,1,1,3,1,2,20.575,1,0,0,1,0,0,1
,d84f3b73-acfb-4e1f-918a-67194f52d325,Master. Clarence Gustaf Hugo Asplund,male,9,0,3,4,2,31.3875,1,0,1,0,0,0,1
,d6ad0731-4ce2-4fd2-a270-3a52a06c48c6,Master. Eden Leslie Coutts,male,9,1,3,1,1,15.9,1,0,0,1,0,0,1
,eea5ae3a-ac56-4d87-932e-3e52ba17b3ee,Master. Edmond Roger Navratil,male,2,1,2,1,1,26,1,0,0,1,0,1,0
,0a7ca61b-739b-4c0d-859e-cd6a84a67a99,Master. Edvin Rojj Felix Asplund,male,3,1,3,4,2,31.3875,1,0,0,1,0,0,1
,d1893d60-3daf-436d-9638-14a34e52b283,Master. Eino Viljami Panula,male,1,0,3,4,1,39.6875,1,0,1,0,0,0,1
,dd3ca761-5433-4157-8fa1-16f6197a3fdd,Master. Elias Nicola-Yarred,male,12,1,3,1,0,11.2417,1,0,0,1,0,0,1
,8eb8162e-742b-4409-ae39-529066c93ba4,Master. Eric Rice,male,7,0,3,4,1,29.125,1,0,1,0,0,0,1
,d8e5aad8-acd5-4f54-aa75-ab7541e56b43,Master. Eugene Rice,male,2,0,3,4,1,29.125,1,0,1,0,0,0,1
,46ec12bf-1c96-45d1-9137-fc0ba45f4d5f,Master. Frank John William Goldsmith,male,9,1,3,0,2,20.525,1,0,0,1,0,0,1
,ab91d74b-92bf-402d-99e3-3f25d43a8317,Master. George Hugh Rice,male,8,0,3,4,1,29.125,1,0,1,0,0,0,1
,81227caf-8a69-4a54-b514-0fefeb4da6e4,Master. George Sibley Richards,male,0.83,1,2,1,1,18.75,1,0,0,1,0,1,0
,d9d1a7d6-ad6c-4643-9178-9999ca548524,Master. Gerios Moubarek,male,7,1,3,1,1,15.2458,1,0,0,1,0,0,1
,529965ad-f9d5-40bc-8fc7-4d97830fb935,Master. Gosta Leonard Palsson,male,2,0,3,3,1,21.075,1,0,1,0,0,0,1
,503e2fee-6240-49f5-a7b6-23a95d6f92f4,Master. Halim Gonios Moubarek,male,4,1,3,1,1,15.2458,1,0,0,1,0,0,1
,2ecee567-0b00-4949-b7ca-e5d5b5eeaaf8,Master. Harald Skoog,male,4,0,3,3,2,27.9,1,0,1,0,0,0,1
,77908fbf-02c4-4ec3-bf89-60eeac89f86e,Master. Harold Theodor Johnson,male,4,1,3,1,1,11.1333,1,0,0,1,0,0,1
,618826ea-239b-44e0-bd93-f7e707dcf462,Master. Harold Victor Goodwin,male,9,0,3,5,2,46.9,1,0,1,0,0,0,1
,ea3bd32c-4d4e-4be5-9cfb-2624379533cd,Master. Henry Forbes Lefebre,male,5,0,3,3,1,25.4667,1,0,1,0,0,0,1
,9c1b1d7d-7d19-4587-b815-7a4e8d6958aa,Master. Hudson Trevor Allison,male,0.92,1,1,1,2,151.55,1,0,0,1,1,0,0
,8aa1e91b-eb7c-48a5-b54f-c14b6fa301bd,Master. John Morgan Jr Davies,male,8,1,2,1,1,36.75,1,0,0,1,0,1,0
,4c7aacda-624c-4d38-8d15-be67c4fa4a30,Master. Juha Niilo Panula,male,7,0,3,4,1,39.6875,1,0,1,0,0,0,1
,21961602-13ad-487d-b18d-ba55acd01e98,Master. Karl Thorsten Skoog,male,10,0,3,3,2,27.9,1,0,1,0,0,0,1
,a73194ff-067e-43c9-99c9-1188649428a8,Master. Meier Moor,male,6,1,3,0,1,12.475,1,0,0,1,0,0,1
,b278a720-621f-47cb-81cb-01ce7f50b5dd,Master. Michel M Navratil,male,3,1,2,1,1,26,1,0,0,1,0,1,0
,8df94393-b21e-465d-8cb4-8f0bda26e7b1,Master. Richard F Becker,male,1,1,2,2,1,39,1,0,0,1,0,1,0
,01c64f0f-bb76-439b-994b-a82ba2255d52,Master. Sidney Leonard Goodwin,male,1,0,3,5,2,46.9,1,0,1,0,0,0,1
,5899b79a-887a-45eb-b2a9-eb8d2ef07313,Master. Sigvard Harald Elias Andersson,male,4,0,3,4,2,31.275,1,0,1,0,0,0,1
,4684d6fe-3ee7-4bb5-b6f2-3e423d9a79fb,Master. Thomas Henry Sage,male,5,0,3,8,2,69.55,1,0,1,0,0,0,1
,66f57b2e-b97e-4659-a006-b73002b79954,Master. Urho Abraham Panula,male,2,0,3,4,1,39.6875,1,0,1,0,0,0,1
